repo,framework,designSystem,files,checked,trusted,declare,findings,blocking,topRule,error
BoringBoredom/UEFI-Editor,vite-react,mantine,8,0,23,7,2,2,jsx-a11y/click-events-have-key-events,
DarkInventor/easy-ui,next,radix,174,27,51,105,57,57,enforce/button-no-name,
Supernova3339/changerawr,next,headlessui,214,40,77,174,142,142,enforce/button-no-name,
agarun/turborepo-vite-starter,react-router,mui,8,0,3,6,0,0,-,
alibaba/lowcode-demo,react,antd,82,0,0,21,15,15,jsx-a11y/alt-text,
antiwork/shortest,next,reactAria,25,9,12,22,4,4,jsx-a11y/role-has-required-aria-props,
corbt/agent.exe,react-router,chakra,3,3,5,3,2,2,enforce/button-no-name,
creativetimofficial/purity-ui-dashboard,,chakra,,,,,,,,no .tsx files found in clone
guangqiang-liu/OneM,,antd,,,,,,,,no .tsx files found in clone
hathora/builder,react,headlessui,26,0,5,20,7,7,jsx-a11y/alt-text,
horizon-ui/horizon-ui-chakra,,chakra,,,,,,,,no .tsx files found in clone
iamzhihuix/skills-manage,react-router,baseui,49,11,0,83,12,12,jsx-a11y/click-events-have-key-events,
jaiarobotics/jaiabot,react,mui,114,5,21,118,87,87,jsx-a11y/click-events-have-key-events,
jolbol1/jolly-ui,next,reactAria,706,88,80,325,315,315,enforce/input-no-name,
kamp-us/phoenix,react-router,baseui,49,2,0,107,0,0,-,
mantinedev/vite-template,react-router,mantine,7,0,5,6,0,0,-,
modagavr/pancake-wizard,vite-react,headlessui,5,0,2,6,3,3,enforce/dialog-no-name,
rickypeng99/yugioh_web,,mui,,,,,,,,no .tsx files found in clone
shadcn-ui/taxonomy,next,radix,94,31,104,67,14,14,jsx-a11y/heading-has-content,
steven-tey/precedent,next,radix,22,2,11,25,1,1,jsx-a11y/anchor-has-content,
thomasgauvin/claude-agent-sdk-in-cloudflare-containers,react-router,baseui,6,0,0,12,8,8,jsx-a11y/label-has-associated-control,
umijs/umi,react,antd,427,13,50,176,162,162,jsx-a11y/anchor-is-valid,
untitleduico/react,next,reactAria,297,43,63,424,174,174,jsx-a11y/anchor-is-valid,
vikejs/bati,react,mantine,47,0,9,27,3,3,jsx-a11y/click-events-have-key-events,
